"field_group","field_name_canonical","business_definition","pilot_mandatory","system_of_record_primary","system_of_record_secondary","systems_of_input","derivation_logic","business_owner","technical_owner","reconciliation_method","reconciliation_level","tolerance","failure_severity","failure_impact","confidence_inputs","privacy_classification","access_control","retention_requirement","lineage_required","audit_requirement","legal_or_usage_notes","version_introduced","change_control"
"legal entity / country / payroll context","country_code","Country of employment/payroll context (ISO 3166-1 alpha-2) used for reporting and overlay selection (later).","Y","Workday","Payroll","Workday; Payroll","Primary from Workday country of employment; payroll used for reconciliation. Canonicalize to ISO codes.","HRIS / People Data Owner","Data Engineering / Intake","Field-level comparison HRIS vs payroll country","field","Exact match after canonicalization; exceptions must be coded","BLOCKER","Wrong country drives wrong statutory overlay and invalid compliance outputs.","Mismatch count; canonicalization success rate","SENSITIVE_PII","Restricted as above","Retain with snapshot.","Y","Audit canonicalization rules version.","No country-specific logic in code; overlays come later.","v1","HRIS owner approval; Legal review if rules change."
"legal entity / country / payroll context","payroll_provider_id","Identifier for the payroll provider/system instance used in pilot (single provider expected).","Y","Payroll","","Payroll","Direct extract or configured constant for the pilot payroll source; must be explicit per snapshot.","Payroll Controls Owner","Data Engineering / Intake","Metadata verification vs extract source","metadata","Exact match to pilot scope; single provider unless scope expanded","BLOCKER","If provider context is unclear, reconciliation and audits cannot anchor remuneration truth.","Presence; scope consistency","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance roles","Retain with snapshot metadata; aligns to audit evidence retention.","Y","Audit any change to provider identification.","Provider identifiers are operationally sensitive.","v1","Payroll controls sign-off required."
"legal entity / country / payroll context","payroll_run_id","Identifier for a payroll run (regular/off-cycle) used to reconcile paid amounts to payroll results.","Y","Payroll","","Payroll","Extract payroll run identifier per earning line or per run; link earning lines to run_id; if unavailable, use pay_period_id + offcycle_flag.","Payroll Controls Owner","Data Engineering / Intake","Record-level reconciliation of earning lines to payroll run outputs","record","0 nulls for included earning lines; 0 orphan run references","BLOCKER","Without payroll_run_id (or equivalent), off-cycle/retro handling and audit reconciliation are not defensible.","Presence; orphan counts; run coverage","SENSITIVE_PII","Restricted as above","Retain with snapshot for evidence; raw payroll reports retained per payroll controls policy.","Y","Audit reconciliation evidence references.","Do not use payroll_run_id outside reconciliation/evidence generation.","v1","Payroll controls sign-off required."
"legal entity / country / payroll context","pay_period_start_date","Start date of the pay period used for period scoping and normalization.","Y","Payroll","Workday","Payroll; Workday","Primary from payroll calendar; cross-check against HRIS pay period config if present.","Payroll Controls Owner","Data Engineering / Intake","Field-level calendar reconciliation","field","Exact match to payroll calendar","BLOCKER","Wrong periods invalidate pay aggregation and statutory timing.","Calendar match; date validity","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance","Retain with snapshot metadata.","Y","Audit calendar version/reference used.","Period definitions must be payroll-anchored.","v1","Payroll controls sign-off required."
"legal entity / country / payroll context","pay_period_end_date","End date of the pay period used for period scoping and normalization.","Y","Payroll","Workday","Payroll; Workday","Primary from payroll calendar; cross-check if HRIS config exists.","Payroll Controls Owner","Data Engineering / Intake","Field-level calendar reconciliation","field","Exact match to payroll calendar","BLOCKER","Wrong periods invalidate pay aggregation and statutory timing.","Calendar match; date validity","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance","Retain with snapshot metadata.","Y","Audit calendar reference.","As above.","v1","Payroll controls sign-off required."
"legal entity / country / payroll context","off_cycle_flag","Flag indicating off-cycle payroll run for earning lines included in the snapshot.","Y","Payroll","","Payroll","Direct extract; default false for regular runs.","Payroll Controls Owner","Data Engineering / Intake","Completeness vs payroll run type","field","Must be present for every included earning line/run; if run is off-cycle then true; else false","BLOCKER","Off-cycle mislabeling can distort period allocation and reconciliation exception analysis and can hide material reconciliation exceptions.","Consistency checks","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance","Retain with snapshot.","Y","Audit any derivation defaults.","Used for reconciliation and explainability only.","v1","Payroll controls approval required."
"job architecture","position_id","Identifier for the position/job instance (HR position management) used to join job attributes.","Y","Workday","","Workday","Direct extract; effective-dated; must map to assignment_id when applicable.","HRIS / People Data Owner","Data Engineering / Intake","Uniqueness and referential integrity (assignment↔position)","record","0 nulls for in-scope; 0 orphan references","BLOCKER","Without position_id, job architecture cannot be traced and comparable grouping becomes unreliable.","Presence; orphan counts","SENSITIVE_PII","Restricted as above","Retain with snapshot.","Y","Audit referential integrity results.","Job/position identifiers are HRIS lineage keys.","v1","HRIS owner approval required."
"job architecture","job_title","Worker job title at snapshot date used as an input to job normalization and category assignment.","Y","Workday","","Workday","Primary from Workday; normalize whitespace/case for canonical storage; retain raw_title in lineage if captured.","Reward Methodology Owner","Data Engineering / Intake","Field-level completeness + normalization issue rates","field","0 nulls for in-scope; normalization issues below agreed threshold","BLOCKER","Missing job title blocks category assignment and metrics gating.","Presence; normalization issues count","SENSITIVE_PII","Restricted as above","Retain with snapshot; raw strings handled as PII.","Y","Audit normalization rules version and any manual mappings.","Job titles may contain identifying free text; minimize exposure.","v1","Reward owner + HRIS owner approval for rule change."
"job architecture","job_family","Job family/classification as used by job architecture for grouping.","N","Workday","Reward","Workday; Reward","Prefer Workday job family if consistently maintained; else use reward/job architecture reference table. If not reliable, mark not-ready and do not use in pilot grouping.","Reward Methodology Owner","Data Engineering / Job Architecture","Field-level reconciliation HRIS vs reward reference","field","Exact match when present; else allowed null","WARNING","Incorrect family codes can misclassify comparable groups; treat as optional until proven reliable.","Presence; mismatch counts","CONFIDENTIAL","Restricted: Reward/HRIS/Engineering/Assurance","Retain with snapshot.","Y","Audit reference table version used.","Do not infer family from title without approved methodology (H03).","v1","Reward owner sign-off required."
"job architecture","job_level","Job level/grade used for comparability and methodology inputs (if included in pilot).","Y","Workday","Reward","Workday; Reward","Primary from Workday grade/level; cross-check against reward framework; canonicalize to stable codes.","Reward Methodology Owner","Data Engineering / Job Architecture","Field-level reconciliation HRIS vs reward grade","field","Exact match via mapping; 0 unmapped levels for in-scope","BLOCKER","Incorrect level undermines equal-pay defensibility and category assignment.","Mapping completeness; mismatch count","CONFIDENTIAL","Restricted: Reward/HRIS/Engineering/Assurance","Retain with snapshot; mapping tables retained.","Y","Audit mapping table changes and approvals.","Level mapping is governed methodology input; changes require Legal awareness.","v1","Reward owner + Legal review for mapping changes."
"job architecture","job_code","Stable job code used for reference to job architecture catalog.","N","Reward","Workday","Reward; Workday","Prefer reward/job architecture catalog id when available; else use Workday job profile id. Must be stable and versioned.","Reward Methodology Owner","Data Engineering / Job Architecture","Mapping reference reconciliation","mapping_reference","0 unmapped job codes if used; else nullable","WARNING","Missing job_code reduces traceability to job architecture catalog but may not block pilot if title+level sufficient.","Mapping completeness","CONFIDENTIAL","Restricted as above","Retain with snapshot.","Y","Audit catalog version referenced.","Job catalogs may be proprietary.","v1","Reward owner approval required."
"hours / FTE / normalization","fte_fraction","FTE fraction used to normalize pay/hours where required.","Y","Workday","Payroll","Workday; Payroll","Primary from Workday FTE; payroll used to reconcile if payroll stores standard hours/FTE. Store as decimal 0–1.","HRIS / People Data Owner","Data Engineering / Intake","Field-level comparison HRIS vs payroll FTE/standard-hours derived","field","Absolute difference <= 0.01 unless justified; exceptions coded","BLOCKER","Incorrect FTE breaks normalization and can materially change pay gap metrics.","Difference distribution; outlier rate","SENSITIVE_PII","Restricted as above","Retain with snapshot.","Y","Audit normalization and any imputation rules (imputation not allowed in v1).","No imputation without explicit approval and evidence.","v1","HRIS + Payroll controls sign-off for tolerance change."
"hours / FTE / normalization","standard_hours_per_week","Contracted standard hours per week used for normalization checks.","N","Workday","Payroll","Workday; Payroll","Primary from Workday; reconcile against payroll standard hours if present.","HRIS / People Data Owner","Data Engineering / Intake","Field-level reconciliation HRIS vs payroll","field","Exact match or within 0.5 hours/week depending on policy","WARNING","May affect normalization; optional until proven consistent.","Mismatch count","SENSITIVE_PII","Restricted as above","Retain with snapshot.","Y","Audit tolerance policy.","Use only if defined as methodology input.","v1","HRIS owner approval required."
"hours / FTE / normalization","paid_hours_in_period","Actual paid hours in the pay period (if used for hourly workers or normalization).","N","Payroll","","Payroll","Direct extract per worker per pay period; if not used, keep out of pilot-mandatory set.","Payroll Controls Owner","Data Engineering / Intake","Aggregate reconciliation vs payroll totals","aggregate","Sum within 0.1 hour per worker-period; component-level exceptions coded","WARNING","Hours errors can distort hourly pay normalization and inclusion rules.","Outlier rate; reconciliation residuals","SENSITIVE_PII","Restricted as above","Retain with snapshot per evidence policy.","Y","Audit use in any calculations.","Do not collect unless required for pilot methodology.","v1","Payroll controls + Privacy approval if introduced."
"gender / reporting dimensions","gender","Gender value used for EU core gender pay gap metrics and reporting dimensions.","Y","Workday","Payroll","Workday; Payroll","Primary from Workday gender; payroll used only for mismatch detection. Canonicalize to controlled enum; unknown/not_disclosed must be explicit.","HRIS / People Data Owner","Data Engineering / Intake","Field-level reconciliation HRIS vs payroll (when present)","field","Exact match when both present; missing gender for any in-scope worker is not allowed unless exception approved","BLOCKER","Gender is required for statutory metrics; missing/incorrect values invalidate results or bias distributions.","Completeness rate; mismatch count","SENSITIVE_PII","Restricted: need-to-know. In outputs, only aggregated distributions unless explicitly approved; no worker-level gender exposure outside approved roles.","Retain with snapshot; ensure purpose limitation and minimization.","Y","Audit access to gender field; audit any overrides/corrections.","Sensitive demographic processing requires explicit scope + approvals.","v1","HRIS owner + Privacy lead sign-off for any changes."
"pay components","currency_code","Currency of remuneration amounts (ISO 4217) for normalization and reporting context.","Y","Payroll","","Payroll","Direct extract; canonicalize to ISO 4217.","Payroll Controls Owner","Data Engineering / Intake","Field-level validation + allowed set check","field","0 nulls; valid ISO code","BLOCKER","Without currency code, pay comparisons and aggregations are invalid.","Presence; validity","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance","Retain with snapshot metadata.","Y","Audit currency handling rules.","Currency conversions must be explicitly governed (not in H02).","v1","Payroll controls approval required."
"pay components","base_pay_amount","Base pay paid/earned in the pay period as defined by payroll earning codes mapped to base pay.","Y","Payroll","Workday","Payroll; Workday","Primary from payroll earning lines aggregated to worker-period base pay via earning_code→component mapping. HRIS may provide salary rate but is not SoR for paid amount.","Payroll Controls Owner","Data Engineering / Payroll Mapping","Payroll-anchored reconciliation of base pay totals (worker + aggregate)","aggregate","Per worker-period: absolute diff <= minor_units 1 (rounding) OR <= 0.1% of amount; aggregate diff <= 0.01% unless justified","BLOCKER","Base pay is core remuneration input; inaccuracies directly corrupt compliance metrics and evidence.","Mapping coverage; reconciliation residuals; unmapped earning codes count","SENSITIVE_PII","Restricted as above; amounts masked outside privileged roles","Retain with snapshot; raw payroll reports retained per payroll controls policy; ensure deletion schedule for extracts.","Y","Audit earning-code mapping changes; audit any manual adjustments and approvals.","Earning-code mapping is a controlled artifact; changes require payroll controls approval.","v1","Payroll controls + Internal Audit awareness for mapping changes."
"pay components","base_pay_periodicity","Periodicity/basis of base pay amount in the snapshot (e.g., per pay period).","Y","Payroll","","Payroll","Derived from payroll calendar and aggregation grain; set to 'per_pay_period' in v1 pilot.","Payroll Controls Owner","Data Engineering / Payroll Mapping","Metadata consistency check","metadata","Exact match to defined pilot grain","BLOCKER","Ambiguous periodicity makes reconciliation and statutory interpretation unreliable.","Presence; consistency","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance","Retain with snapshot metadata.","Y","Audit if grain changes between runs.","Any change of grain is a material change requiring decision log entry.","v1","Payroll controls + Legal review required."
"variable pay / bonus / allowances","variable_pay_amount","Variable pay paid in the pay period (bonus/commission) as defined by mapped earning codes.","Y","Payroll","Workday","Payroll; Workday","Primary from payroll earning lines aggregated to worker-period variable pay via controlled mapping. HRIS/reward eligibility is not SoR for paid amounts.","Payroll Controls Owner","Data Engineering / Payroll Mapping","Payroll-anchored reconciliation of variable pay totals","aggregate","Per worker-period: abs diff <= minor_units 1 OR <= 0.1%; aggregate diff <= 0.05% unless justified","BLOCKER","Variable pay is required for statutory bonus gap metrics; inaccuracies materially change outputs.","Mapping coverage; reconciliation residuals; unmapped earning codes","SENSITIVE_PII","Restricted as above; amounts masked outside privileged roles","Retain with snapshot; raw payroll evidence per policy.","Y","Audit earning-code mapping changes and approvals.","Ensure consistent inclusion/exclusion rules for variable pay (defined in methodology/reconciliation frameworks).","v1","Payroll controls sign-off required."
"variable pay / bonus / allowances","allowances_amount","Allowances/one-time payments paid in the period (if in pilot scope) aggregated via mapped earning codes.","N","Payroll","Workday","Payroll; Workday","Primary from payroll mapped earning lines; include only if pilot scope requires allowances.","Payroll Controls Owner","Data Engineering / Payroll Mapping","Payroll-anchored reconciliation of allowances totals","aggregate","Per worker-period: abs diff <= minor_units 1 OR <= 0.1%; aggregate diff <= 0.1% unless justified","WARNING","Allowances may affect total remuneration; if excluded must be explicit with coded rationale.","Mapping coverage; reconciliation residuals","SENSITIVE_PII","Restricted as above","Retain with snapshot if included.","Y","Audit inclusion decision and mapping changes.","Do not include allowances unless agreed in pilot scope lock.","v1","Payroll controls + Legal notified if included."
"pay components","earning_code","Earning code on payroll earning lines used to map to canonical pay components.","Y","Payroll","","Payroll","Direct extract; used as mapping key; must be retained for audit and explainability.","Payroll Controls Owner","Data Engineering / Payroll Mapping","Mapping reference completeness + unmapped code register","mapping_reference","0 unmapped earning codes for included lines (or explicitly excluded with owner-approved reason)","BLOCKER","Unmapped earning codes create silent pay leakage and break payroll anchoring.","Unmapped count; excluded-with-reason count","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance","Retain mapping keys and code lists per payroll controls policy.","Y","Audit mapping table version; audit change approvals.","Earning code catalogs can be sensitive; avoid broad distribution.","v1","Payroll controls sign-off required."
"pay components","pay_component_mapping_version","Version identifier for the earning_code→pay component mapping used in the run.","Y","Payroll Controls","","Payroll; Policy Registry (future)","In v1, set as an explicit version string controlled by payroll controls; referenced by snapshot/matrix rows.","Payroll Controls Owner","Data Engineering / Payroll Mapping","Metadata check and approval evidence","metadata","Must be present; must match approved mapping version","BLOCKER","Without mapping version, outputs are not reproducible or auditable.","Presence; approval record exists","CONFIDENTIAL","Restricted to Payroll/Engineering/Assurance/Internal Audit","Retain indefinitely with evidence pack retention requirements.","Y","Audit mapping version changes; link to approval artifacts.","Mapping changes require governance; do not change mid-pilot without decision log.","v1","Payroll controls + Internal Audit acknowledgement."
"lineage / methodology / confidence","snapshot_id","Immutable identifier for the sealed snapshot/run input used to tie all evidence and outputs.","Y","Intake Snapshot Store","","Intake Engine","Generated at snapshot seal time; must be carried on every downstream artifact and report.","Internal Audit / Assurance Lead","Platform Engineering","Referential integrity check across artifacts","metadata","Must be present; exact match across all outputs","BLOCKER","Without snapshot_id, reproducibility and audit traceability fail.","Presence; cross-artifact match","CONFIDENTIAL","Restricted to project roles; included in evidence packs","Retain per evidence retention policy (often multiple years).","Y","Audit snapshot creation and access; immutable storage evidence.","Snapshot is the unit of evidence; treat as immutable.","v1","Change not permitted; only new snapshots."
"lineage / methodology / confidence","methodology_version","Version identifier of Methodology v1+ used for category assignment and metric interpretation.","Y","Policy Registry (governance)","Reward","Validation artifacts; Policy Registry (future)","In v1, set as an explicit version string linked to H03 methodology artifact; must be carried on runs.","Reward Methodology Owner","Platform Engineering","Metadata check vs approved methodology artifact","metadata","Must be present; exact match to approved methodology version","BLOCKER","Without a methodology version, outputs are not defensible or reproducible.","Presence; approval link exists","CONFIDENTIAL","Restricted to project roles","Retain with evidence bundle.","Y","Audit methodology adoption decision reference.","Methodology changes require Legal sign-off (Validation Charter G3).","v1","Reward + Legal + Audit acknowledgement required."
"lineage / methodology / confidence","category_id","Comparable category identifier assigned per worker for metrics grouping.","Y","Category Engine","Reward","Category Engine output","Derived deterministically per category assignment rules + inputs; must be stable for same inputs and versions.","Reward Methodology Owner","Platform Engineering","Record-level completeness + deterministic stability checks","record","0 nulls for in-scope; 0 unassigned unless exception approved","BLOCKER","Without category_id per worker, metrics cannot be computed or defended.","Unassigned/review-required counts; deterministic id stability","CONFIDENTIAL","Restricted to project roles; avoid worker-level sharing beyond need-to-know","Retain with snapshot outputs as evidence.","Y","Audit rule versions and override records referenced.","Category assignment governance is defined in methodology; do not treat as purely technical.","v1","Reward owner sign-off required for rule changes."
"lineage / methodology / confidence","category_assignment_basis","Basis used to assign category (e.g., exact/normalized/equal_value/override) for explainability.","Y","Category Engine","","Category Engine output","Direct from category assignment output; must be present per worker.","Reward Methodology Owner","Platform Engineering","Completeness check","field","0 nulls for in-scope","BLOCKER","Missing basis breaks explainability and audit defense.","Presence rate","CONFIDENTIAL","Restricted to project roles","Retain with evidence bundle.","Y","Audit any changes to basis enum usage.","Used for explainability only; not a pay input.","v1","Platform engineering + Reward approval if schema changes."
"lineage / methodology / confidence","override_id","Identifier of an approved override applied to category assignment (if any).","N","Category Engine","","Category Engine output","Present only when override basis is used; must link to governed override record.","Reward Methodology Owner","Platform Engineering","Referential integrity to override records","record","0 orphan override references","BLOCKER","Orphan overrides create untraceable changes and legal risk.","Orphan count; approval status checks","CONFIDENTIAL","Restricted to Reward/Legal/Audit/Engineering","Retain override records per evidence policy.","Y","Audit override approvals and timestamps.","Overrides require explicit approval and expiry (defined in H03).","v1","Reward + Legal governance required."
"lineage / methodology / confidence","override_flag","Boolean indicating whether any override affected the worker’s category assignment.","Y","Category Engine","","Category Engine output","Derived from presence of override_id or override basis; must be consistent.","Reward Methodology Owner","Platform Engineering","Consistency check","field","Must match override_id presence","WARNING","Incorrect override flag impairs explainability and reviewer workflows.","Consistency rate","CONFIDENTIAL","Restricted to project roles","Retain with evidence bundle.","Y","Audit override application logic changes (future slices).","Used for audit and reporting flags.","v1","Platform engineering change control."
"lineage / methodology / confidence","confidence_score_reference","Reference identifier to a confidence assessment artifact (record-level/field-level) produced by the confidence model (H05), not the score itself.","N","Confidence Model (governance)","","Validation artifacts; Confidence Engine output (future)","In v1, reserve the reference field; populate only when H05 defines artifact format. Until then, must be null.","Internal Audit / Assurance Lead","Platform Engineering","Metadata presence check when enabled","metadata","Must be null in v1 pilot until H05 is accepted","WARNING","Premature/undefined confidence references create false assurance.","Null rate","CONFIDENTIAL","Restricted to project roles","Retain if produced as evidence.","Y","Audit introduction of confidence artifacts.","Do not compute confidence in H02; references only.","v1","Requires H05 acceptance to activate."
"lineage / methodology / confidence","explainability_trace_reference","Reference identifier for an explainability trace bundle enabling worker-level trace (inputs→derivations→versions→outputs).","Y","Reporting Evidence Pack","","Reporting Engine output","In v1, define as a required reference to an explainability walkthrough pack item per worker or sample; may be a URI/path within evidence bundle.","Internal Audit / Assurance Lead","Platform Engineering","Referential integrity to evidence bundle","metadata","Must be present for sampled workers; for full population, may be present at run-level depending on pilot design","BLOCKER","Without explainability traces, pilot cannot satisfy Validation Charter G9 and is not defensible.","Evidence link existence; accessibility checks","CONFIDENTIAL","Restricted to Audit/Legal/Privacy/Security/Reward/Payroll/Engineering","Retain with evidence bundle per audit requirements.","Y","Audit access to trace bundles; immutable evidence storage.","Explainability must not leak PII beyond approved audience.","v1","Internal Audit controls sign-off required."
